TeamName,OwnerID,OpponentName,OpponentID,TeamScore,OpponentScore,Week,Year
John,793573,Matt,3190107,161.36,98.52,2,2021
Andreas,1088807,Ignacio,12608269,134.86,124.30,2,2021
romain,1360516,DB,2442650,144.86,130.52,2,2021
Tomas,5892024,LUCIAN,7582304,152.38,146.86,2,2021
Michael,7611079,Francesco,10808626,113.98,138.50,2,2021
Jody,271999,Lorenzo,2017413,157.86,154.08,1,2021
Dajuan,276726,Michael,7611079,173.86,151.62,1,2021
Waso,378644,Rochas,2012141,176.18,94.90,1,2021
John,793573,LUCIAN,7582304,165.16,128.26,1,2021
Andreas,1088807,Matt,3190107,122.44,91.34,1,2021
Chris,1191284,Ignacio,12608269,166.58,69.12,1,2021
romain,1360516,Tomas,5892024,140.04,129.80,1,2021
DB,2442650,Francesco,10808626,133.80,88.56,1,2021
Jody,271999,Francesco,10808626,127.48,63.98,16,2020
Dajuan,276726,Tomas,5892024,148.12,129.18,16,2020
John,793573,Matt,3190107,71.46,155.54,16,2020
Ken,827363,Rochas,2012141,149.92,114.98,16,2020
Andreas,1088807,romain,1360516,147.40,144.92,16,2020
Chris,1191284,LUCIAN,7582304,97.80,115.50,16,2020
Lorenzo,2017413,Ignacio,12608269,61.70,139.86,16,2020
DB,2442650,Michael,7611079,156.86,172.60,16,2020
Jody,271999,Matt,3190107,179.84,81.52,15,2020
Dajuan,276726,Ignacio,12608269,126.32,93.48,15,2020
John,793573,Francesco,10808626,117.48,121.94,15,2020
Ken,827363,LUCIAN,7582304,109.96,106.74,15,2020
Andreas,1088807,Michael,7611079,135.22,155.86,15,2020
Chris,1191284,Rochas,2012141,138.52,183.02,15,2020
romain,1360516,DB,2442650,156.44,173.30,15,2020
Lorenzo,2017413,Tomas,5892024,67.48,83.18,15,2020
Jody,271999,Dajuan,276726,131.80,96.10,14,2020
John,793573,Lorenzo,2017413,120.60,120.32,14,2020
Ken,827363,DB,2442650,140.62,161.10,14,2020
Andreas,1088807,Chris,1191284,164.54,119.78,14,2020
romain,1360516,LUCIAN,7582304,136.64,135.14,14,2020
Rochas,2012141,Michael,7611079,126.36,137.42,14,2020
Matt,3190107,Ignacio,12608269,157.18,136.72,14,2020
Tomas,5892024,Francesco,10808626,84.46,107.20,14,2020
Jody,271999,Ken,827363,153.20,134.44,13,2020
Dajuan,276726,Tomas,5892024,131.74,97.98,13,2020
John,793573,DB,2442650,84.12,113.92,13,2020
Andreas,1088807,Michael,7611079,223.44,117.30,13,2020
Chris,1191284,Matt,3190107,182.06,95.20,13,2020
romain,1360516,LUCIAN,7582304,138.18,89.02,13,2020
Rochas,2012141,Francesco,10808626,122.18,125.78,13,2020
Lorenzo,2017413,Ignacio,12608269,112.38,104.86,13,2020
Jody,271999,romain,1360516,127.38,177.40,12,2020
Dajuan,276726,Francesco,10808626,105.32,90.18,12,2020
John,793573,LUCIAN,7582304,170.14,120.30,12,2020
Ken,827363,Andreas,1088807,130.74,103.50,12,2020
Chris,1191284,DB,2442650,130.90,211.00,12,2020
Rochas,2012141,Matt,3190107,123.78,120.12,12,2020
Lorenzo,2017413,Michael,7611079,86.32,99.38,12,2020
Tomas,5892024,Ignacio,12608269,124.80,78.80,12,2020
Jody,271999,Michael,7611079,120.06,137.50,11,2020
Dajuan,276726,Lorenzo,2017413,111.52,113.96,11,2020
John,793573,Rochas,2012141,136.26,104.72,11,2020
Ken,827363,Francesco,10808626,145.06,94.56,11,2020
Andreas,1088807,Tomas,5892024,134.98,109.62,11,2020
Chris,1191284,LUCIAN,7582304,115.88,124.38,11,2020
romain,1360516,DB,2442650,158.92,99.40,11,2020
Matt,3190107,Ignacio,12608269,135.56,148.26,11,2020
Jody,271999,LUCIAN,7582304,111.78,91.92,10,2020
Dajuan,276726,Andreas,1088807,119.86,93.10,10,2020
John,793573,Rochas,2012141,103.38,71.16,10,2020
Ken,827363,Ignacio,12608269,147.42,131.44,10,2020
Chris,1191284,romain,1360516,115.18,151.62,10,2020
Lorenzo,2017413,DB,2442650,128.56,89.52,10,2020
Matt,3190107,Michael,7611079,106.60,171.26,10,2020
Tomas,5892024,Francesco,10808626,93.20,109.62,10,2020
Jody,271999,Chris,1191284,116.60,118.68,9,2020
Dajuan,276726,Ken,827363,122.30,152.28,9,2020
John,793573,Francesco,10808626,139.68,103.32,9,2020
Andreas,1088807,Rochas,2012141,135.26,121.72,9,2020
romain,1360516,Ignacio,12608269,125.04,112.58,9,2020
Lorenzo,2017413,LUCIAN,7582304,127.42,132.10,9,2020
DB,2442650,Michael,7611079,88.98,147.90,9,2020
Matt,3190107,Tomas,5892024,140.84,136.72,9,2020
Jody,271999,Rochas,2012141,122.80,103.12,8,2020
Dajuan,276726,Matt,3190107,121.72,98.12,8,2020
John,793573,Michael,7611079,161.70,112.36,8,2020
Ken,827363,Tomas,5892024,142.04,98.42,8,2020
Andreas,1088807,DB,2442650,128.16,132.58,8,2020
Chris,1191284,romain,1360516,114.72,167.04,8,2020
Lorenzo,2017413,Francesco,10808626,120.58,104.74,8,2020
LUCIAN,7582304,Ignacio,12608269,105.44,80.18,8,2020
Jody,271999,Ignacio,12608269,106.16,131.88,7,2020
Dajuan,276726,LUCIAN,7582304,76.50,158.22,7,2020
John,793573,Tomas,5892024,98.16,115.70,7,2020
Ken,827363,Chris,1191284,98.60,88.72,7,2020
Andreas,1088807,Matt,3190107,149.18,138.36,7,2020
romain,1360516,Francesco,10808626,165.80,121.90,7,2020
Rochas,2012141,Michael,7611079,130.64,95.76,7,2020
Lorenzo,2017413,DB,2442650,122.98,158.98,7,2020
Jody,271999,Matt,3190107,97.82,138.26,6,2020
Dajuan,276726,romain,1360516,104.16,127.90,6,2020
John,793573,Ignacio,12608269,98.52,107.46,6,2020
Ken,827363,Michael,7611079,74.20,116.78,6,2020
Andreas,1088807,Lorenzo,2017413,122.14,113.74,6,2020
Chris,1191284,Francesco,10808626,87.96,150.96,6,2020
Rochas,2012141,LUCIAN,7582304,162.22,81.64,6,2020
DB,2442650,Tomas,5892024,132.94,146.44,6,2020
