Player Name,Position,Team,NFL ADP
Brevin Jordan, HOU,TE ,150.92
Zay Jones, ARI,WR ,150.93
Brett Maher,K,K,150.93
Zay Jones, ARI,WR ,150.93
Connor Heyward, PIT,TE ,150.93
Mecole Hardman, KC,WR ,150.93
Tutu Atwell, LAR,WR ,150.93
Craig Reynolds, DET,RB ,150.93
Joey Slye, NE,K ,150.93
Shane Zylstra, DET,TE ,150.93
Carson Wentz, KC,QB ,150.94
Michael Thomas,WR,WR,150.94
Jordan Whittington, LAR,WR ,150.94
Trey Lance, DAL,QB ,150.94
Ainias Smith, PHI,WR ,150.94
DeWayne McBride,RB,RB,150.94
Will Mallory, IND,TE ,150.94
Daniel Bellinger, NYG,TE ,150.94
Isaac Guerendo, SF,RB ,150.94
Davis Allen, LAR,TE ,150.94
Tanner Hudson, CIN,TE ,150.94
Ty Johnson, BUF,RB ,150.94
Matthew Wright,K,K,150.94
Cade York, WAS,K ,150.94
Jared Wiley, KC,TE ,150.94
Riley Patterson,K,K,150.94
Deneric Prince, MIA,RB ,150.94
Ainias Smith, PHI,WR ,150.94
DeWayne McBride,RB,RB,150.94
Cam Akers, HOU,RB ,150.94
J.J. Taylor, HOU,RB ,150.94
Jermar Jefferson, DET,RB ,150.94
Jared Wiley, KC,TE ,150.94
Sam Howell, SEA,QB ,150.94
Charlie Smyth, NO,K ,150.95
Theo Johnson, NYG,TE ,150.95
Ameer Abdullah, LV,RB ,150.95
Dylan Laube, LV,RB ,150.95
Israel Abanikanda, NYJ,RB ,150.95
Luke Schoonmaker, DAL,TE ,150.95
Joshua Dobbs, SF,QB ,150.95
Mo Alie-Cox, IND,TE ,150.95
Kendrick Bourne, NE,WR ,150.95
Equanimeous St. Brown, NO,WR ,150.95
AJ Barner, SEA,TE ,150.95
Dyami Brown, WAS,WR ,150.95
Hendon Hooker, DET,QB ,150.95
Jarrett Stidham, DEN,QB ,150.95
D.J. Montgomery, IND,WR ,150.95
John Metchie III, HOU,WR ,150.95
Kevin Harris, NE,RB ,150.95
Kenny McIntosh, SEA,RB ,150.95
Zach Wilson, DEN,QB ,150.95
Chase Claypool,WR,WR,150.95
Hendon Hooker, DET,QB ,150.95
Emari Demercado, ARI,RB ,150.96
Tommy DeVito, NYG,QB ,150.96
Robert Woods, HOU,WR ,150.96
Jaheim Bell, NE,TE ,150.96
Spencer Rattler, NO,QB ,150.96
